target,shape,case,stage,copy_sites,copied_bytes,capture_bytes,exact_copy_endpoints,unknown_copy_endpoints
Wdc65816Native,record,fresh_call,raw,1,3,6,2,0
Wdc65816Native,record,fresh_call,optimized,1,3,6,2,0
Wdc65816Native,record,capture_chain,raw,4,12,12,7,1
Wdc65816Native,record,capture_chain,optimized,3,9,9,5,1
Wdc65816Native,record,snapshot_mutation,raw,4,12,12,6,2
Wdc65816Native,record,snapshot_mutation,optimized,4,12,12,6,2
Wdc65816Native,record,ordered_arguments,raw,5,15,18,8,2
Wdc65816Native,record,ordered_arguments,optimized,5,15,18,8,2
Wdc65816Native,union,fresh_call,raw,1,4,8,2,0
Wdc65816Native,union,fresh_call,optimized,1,4,8,2,0
Wdc65816Native,union,capture_chain,raw,4,16,16,7,1
Wdc65816Native,union,capture_chain,optimized,3,12,12,5,1
Wdc65816Native,union,snapshot_mutation,raw,4,16,16,6,2
Wdc65816Native,union,snapshot_mutation,optimized,4,16,16,6,2
Wdc65816Native,union,ordered_arguments,raw,5,20,24,8,2
Wdc65816Native,union,ordered_arguments,optimized,5,20,24,8,2
Wdc65816Native,variant,fresh_call,raw,1,4,12,2,0
Wdc65816Native,variant,fresh_call,optimized,1,4,12,2,0
Wdc65816Native,variant,capture_chain,raw,4,16,20,7,1
Wdc65816Native,variant,capture_chain,optimized,3,12,16,5,1
Wdc65816Native,variant,snapshot_mutation,raw,5,20,24,8,2
Wdc65816Native,variant,snapshot_mutation,optimized,5,20,24,8,2
Wdc65816Native,variant,ordered_arguments,raw,6,24,32,10,2
Wdc65816Native,variant,ordered_arguments,optimized,6,24,32,10,2
