# Generated by tools/generate_insertsort_vectors.py; do not edit.
# cases=209 if_while_outcomes=12/12
# label command input_stats24 input_values44 expected_stats24 expected_values44 result
permutation-004 1 00000000a08601000000000000000000a086010000000000 0000000000000000010000000400000002000000030000000500000006000000070000000800000009000000 090000000900000009000000000000000000000001000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-005 1 00000000a08601000000000000000000a086010000000000 0000000000000000010000000400000003000000020000000500000006000000070000000800000009000000 090000000900000009000000000000000000000002000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-006 1 00000000a08601000000000000000000a086010000000000 0000000000000000020000000100000003000000040000000500000006000000070000000800000009000000 090000000900000009000000000000000000000001000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-007 1 00000000a08601000000000000000000a086010000000000 0000000000000000020000000100000004000000030000000500000006000000070000000800000009000000 090000000900000009000000000000000000000001000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-008 1 00000000a08601000000000000000000a086010000000000 0000000000000000020000000300000001000000040000000500000006000000070000000800000009000000 090000000900000009000000000000000000000002000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-009 1 00000000a08601000000000000000000a086010000000000 0000000000000000020000000300000004000000010000000500000006000000070000000800000009000000 090000000900000009000000000000000000000003000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-010 1 00000000a08601000000000000000000a086010000000000 0000000000000000020000000400000001000000030000000500000006000000070000000800000009000000 090000000900000009000000000000000000000002000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-011 1 00000000a08601000000000000000000a086010000000000 0000000000000000020000000400000003000000010000000500000006000000070000000800000009000000 090000000900000009000000000000000000000003000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-012 1 00000000a08601000000000000000000a086010000000000 0000000000000000030000000100000002000000040000000500000006000000070000000800000009000000 090000000900000009000000000000000000000001000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-013 1 00000000a08601000000000000000000a086010000000000 0000000000000000030000000100000004000000020000000500000006000000070000000800000009000000 090000000900000009000000000000000000000002000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-014 1 00000000a08601000000000000000000a086010000000000 0000000000000000030000000200000001000000040000000500000006000000070000000800000009000000 090000000900000009000000000000000000000002000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-015 1 00000000a08601000000000000000000a086010000000000 0000000000000000030000000200000004000000010000000500000006000000070000000800000009000000 090000000900000009000000000000000000000003000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-016 1 00000000a08601000000000000000000a086010000000000 0000000000000000030000000400000001000000020000000500000006000000070000000800000009000000 090000000900000009000000000000000000000002000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-017 1 00000000a08601000000000000000000a086010000000000 0000000000000000030000000400000002000000010000000500000006000000070000000800000009000000 090000000900000009000000000000000000000003000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-018 1 00000000a08601000000000000000000a086010000000000 0000000000000000040000000100000002000000030000000500000006000000070000000800000009000000 090000000900000009000000000000000000000001000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-019 1 00000000a08601000000000000000000a086010000000000 0000000000000000040000000100000003000000020000000500000006000000070000000800000009000000 090000000900000009000000000000000000000002000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-020 1 00000000a08601000000000000000000a086010000000000 0000000000000000040000000200000001000000030000000500000006000000070000000800000009000000 090000000900000009000000000000000000000002000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-021 1 00000000a08601000000000000000000a086010000000000 0000000000000000040000000200000003000000010000000500000006000000070000000800000009000000 090000000900000009000000000000000000000003000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-022 1 00000000a08601000000000000000000a086010000000000 0000000000000000040000000300000001000000020000000500000006000000070000000800000009000000 090000000900000009000000000000000000000002000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-023 1 00000000a08601000000000000000000a086010000000000 0000000000000000040000000300000002000000010000000500000006000000070000000800000009000000 090000000900000009000000000000000000000003000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-024 1 00000000a08601000000000000000000a086010000000000 0000000001000000000000000200000003000000040000000500000006000000070000000800000009000000 090000000900000009000000000000000000000001000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-025 1 00000000a08601000000000000000000a086010000000000 0000000001000000000000000200000004000000030000000500000006000000070000000800000009000000 090000000900000009000000000000000000000001000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-026 1 00000000a08601000000000000000000a086010000000000 0000000001000000000000000300000002000000040000000500000006000000070000000800000009000000 090000000900000009000000000000000000000001000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-027 1 00000000a08601000000000000000000a086010000000000 0000000001000000000000000300000004000000020000000500000006000000070000000800000009000000 090000000900000009000000000000000000000002000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-028 1 00000000a08601000000000000000000a086010000000000 0000000001000000000000000400000002000000030000000500000006000000070000000800000009000000 090000000900000009000000000000000000000001000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-029 1 00000000a08601000000000000000000a086010000000000 0000000001000000000000000400000003000000020000000500000006000000070000000800000009000000 090000000900000009000000000000000000000002000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-030 1 00000000a08601000000000000000000a086010000000000 0000000001000000020000000000000003000000040000000500000006000000070000000800000009000000 090000000900000009000000000000000000000002000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-031 1 00000000a08601000000000000000000a086010000000000 0000000001000000020000000000000004000000030000000500000006000000070000000800000009000000 090000000900000009000000000000000000000002000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-032 1 00000000a08601000000000000000000a086010000000000 0000000001000000020000000300000000000000040000000500000006000000070000000800000009000000 090000000900000009000000000000000000000003000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-033 1 00000000a08601000000000000000000a086010000000000 0000000001000000020000000300000004000000000000000500000006000000070000000800000009000000 090000000900000009000000000000000000000004000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-034 1 00000000a08601000000000000000000a086010000000000 0000000001000000020000000400000000000000030000000500000006000000070000000800000009000000 090000000900000009000000000000000000000003000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-035 1 00000000a08601000000000000000000a086010000000000 0000000001000000020000000400000003000000000000000500000006000000070000000800000009000000 090000000900000009000000000000000000000004000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-036 1 00000000a08601000000000000000000a086010000000000 0000000001000000030000000000000002000000040000000500000006000000070000000800000009000000 090000000900000009000000000000000000000002000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-037 1 00000000a08601000000000000000000a086010000000000 0000000001000000030000000000000004000000020000000500000006000000070000000800000009000000 090000000900000009000000000000000000000002000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-038 1 00000000a08601000000000000000000a086010000000000 0000000001000000030000000200000000000000040000000500000006000000070000000800000009000000 090000000900000009000000000000000000000003000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-039 1 00000000a08601000000000000000000a086010000000000 0000000001000000030000000200000004000000000000000500000006000000070000000800000009000000 090000000900000009000000000000000000000004000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-040 1 00000000a08601000000000000000000a086010000000000 0000000001000000030000000400000000000000020000000500000006000000070000000800000009000000 090000000900000009000000000000000000000003000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-041 1 00000000a08601000000000000000000a086010000000000 0000000001000000030000000400000002000000000000000500000006000000070000000800000009000000 090000000900000009000000000000000000000004000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-042 1 00000000a08601000000000000000000a086010000000000 0000000001000000040000000000000002000000030000000500000006000000070000000800000009000000 090000000900000009000000000000000000000002000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-043 1 00000000a08601000000000000000000a086010000000000 0000000001000000040000000000000003000000020000000500000006000000070000000800000009000000 090000000900000009000000000000000000000002000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-044 1 00000000a08601000000000000000000a086010000000000 0000000001000000040000000200000000000000030000000500000006000000070000000800000009000000 090000000900000009000000000000000000000003000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-045 1 00000000a08601000000000000000000a086010000000000 0000000001000000040000000200000003000000000000000500000006000000070000000800000009000000 090000000900000009000000000000000000000004000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-046 1 00000000a08601000000000000000000a086010000000000 0000000001000000040000000300000000000000020000000500000006000000070000000800000009000000 090000000900000009000000000000000000000003000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-047 1 00000000a08601000000000000000000a086010000000000 0000000001000000040000000300000002000000000000000500000006000000070000000800000009000000 090000000900000009000000000000000000000004000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-048 1 00000000a08601000000000000000000a086010000000000 0000000002000000000000000100000003000000040000000500000006000000070000000800000009000000 090000000900000009000000000000000000000001000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-049 1 00000000a08601000000000000000000a086010000000000 0000000002000000000000000100000004000000030000000500000006000000070000000800000009000000 090000000900000009000000000000000000000001000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-050 1 00000000a08601000000000000000000a086010000000000 0000000002000000000000000300000001000000040000000500000006000000070000000800000009000000 090000000900000009000000000000000000000002000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-051 1 00000000a08601000000000000000000a086010000000000 0000000002000000000000000300000004000000010000000500000006000000070000000800000009000000 090000000900000009000000000000000000000003000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-052 1 00000000a08601000000000000000000a086010000000000 0000000002000000000000000400000001000000030000000500000006000000070000000800000009000000 090000000900000009000000000000000000000002000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-053 1 00000000a08601000000000000000000a086010000000000 0000000002000000000000000400000003000000010000000500000006000000070000000800000009000000 090000000900000009000000000000000000000003000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-054 1 00000000a08601000000000000000000a086010000000000 0000000002000000010000000000000003000000040000000500000006000000070000000800000009000000 090000000900000009000000000000000000000002000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-055 1 00000000a08601000000000000000000a086010000000000 0000000002000000010000000000000004000000030000000500000006000000070000000800000009000000 090000000900000009000000000000000000000002000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-056 1 00000000a08601000000000000000000a086010000000000 0000000002000000010000000300000000000000040000000500000006000000070000000800000009000000 090000000900000009000000000000000000000003000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-057 1 00000000a08601000000000000000000a086010000000000 0000000002000000010000000300000004000000000000000500000006000000070000000800000009000000 090000000900000009000000000000000000000004000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-058 1 00000000a08601000000000000000000a086010000000000 0000000002000000010000000400000000000000030000000500000006000000070000000800000009000000 090000000900000009000000000000000000000003000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-059 1 00000000a08601000000000000000000a086010000000000 0000000002000000010000000400000003000000000000000500000006000000070000000800000009000000 090000000900000009000000000000000000000004000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-060 1 00000000a08601000000000000000000a086010000000000 0000000002000000030000000000000001000000040000000500000006000000070000000800000009000000 090000000900000009000000000000000000000002000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-061 1 00000000a08601000000000000000000a086010000000000 0000000002000000030000000000000004000000010000000500000006000000070000000800000009000000 090000000900000009000000000000000000000003000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-062 1 00000000a08601000000000000000000a086010000000000 0000000002000000030000000100000000000000040000000500000006000000070000000800000009000000 090000000900000009000000000000000000000003000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-063 1 00000000a08601000000000000000000a086010000000000 0000000002000000030000000100000004000000000000000500000006000000070000000800000009000000 090000000900000009000000000000000000000004000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-064 1 00000000a08601000000000000000000a086010000000000 0000000002000000030000000400000000000000010000000500000006000000070000000800000009000000 090000000900000009000000000000000000000003000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-065 1 00000000a08601000000000000000000a086010000000000 0000000002000000030000000400000001000000000000000500000006000000070000000800000009000000 090000000900000009000000000000000000000004000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-066 1 00000000a08601000000000000000000a086010000000000 0000000002000000040000000000000001000000030000000500000006000000070000000800000009000000 090000000900000009000000000000000000000002000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-067 1 00000000a08601000000000000000000a086010000000000 0000000002000000040000000000000003000000010000000500000006000000070000000800000009000000 090000000900000009000000000000000000000003000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-068 1 00000000a08601000000000000000000a086010000000000 0000000002000000040000000100000000000000030000000500000006000000070000000800000009000000 090000000900000009000000000000000000000003000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-069 1 00000000a08601000000000000000000a086010000000000 0000000002000000040000000100000003000000000000000500000006000000070000000800000009000000 090000000900000009000000000000000000000004000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-070 1 00000000a08601000000000000000000a086010000000000 0000000002000000040000000300000000000000010000000500000006000000070000000800000009000000 090000000900000009000000000000000000000003000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-071 1 00000000a08601000000000000000000a086010000000000 0000000002000000040000000300000001000000000000000500000006000000070000000800000009000000 090000000900000009000000000000000000000004000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-072 1 00000000a08601000000000000000000a086010000000000 0000000003000000000000000100000002000000040000000500000006000000070000000800000009000000 090000000900000009000000000000000000000001000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-073 1 00000000a08601000000000000000000a086010000000000 0000000003000000000000000100000004000000020000000500000006000000070000000800000009000000 090000000900000009000000000000000000000002000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-074 1 00000000a08601000000000000000000a086010000000000 0000000003000000000000000200000001000000040000000500000006000000070000000800000009000000 090000000900000009000000000000000000000002000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-075 1 00000000a08601000000000000000000a086010000000000 0000000003000000000000000200000004000000010000000500000006000000070000000800000009000000 090000000900000009000000000000000000000003000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-076 1 00000000a08601000000000000000000a086010000000000 0000000003000000000000000400000001000000020000000500000006000000070000000800000009000000 090000000900000009000000000000000000000002000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-077 1 00000000a08601000000000000000000a086010000000000 0000000003000000000000000400000002000000010000000500000006000000070000000800000009000000 090000000900000009000000000000000000000003000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-078 1 00000000a08601000000000000000000a086010000000000 0000000003000000010000000000000002000000040000000500000006000000070000000800000009000000 090000000900000009000000000000000000000002000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-079 1 00000000a08601000000000000000000a086010000000000 0000000003000000010000000000000004000000020000000500000006000000070000000800000009000000 090000000900000009000000000000000000000002000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-080 1 00000000a08601000000000000000000a086010000000000 0000000003000000010000000200000000000000040000000500000006000000070000000800000009000000 090000000900000009000000000000000000000003000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-081 1 00000000a08601000000000000000000a086010000000000 0000000003000000010000000200000004000000000000000500000006000000070000000800000009000000 090000000900000009000000000000000000000004000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-082 1 00000000a08601000000000000000000a086010000000000 0000000003000000010000000400000000000000020000000500000006000000070000000800000009000000 090000000900000009000000000000000000000003000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-083 1 00000000a08601000000000000000000a086010000000000 0000000003000000010000000400000002000000000000000500000006000000070000000800000009000000 090000000900000009000000000000000000000004000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-084 1 00000000a08601000000000000000000a086010000000000 0000000003000000020000000000000001000000040000000500000006000000070000000800000009000000 090000000900000009000000000000000000000002000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-085 1 00000000a08601000000000000000000a086010000000000 0000000003000000020000000000000004000000010000000500000006000000070000000800000009000000 090000000900000009000000000000000000000003000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-086 1 00000000a08601000000000000000000a086010000000000 0000000003000000020000000100000000000000040000000500000006000000070000000800000009000000 090000000900000009000000000000000000000003000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-087 1 00000000a08601000000000000000000a086010000000000 0000000003000000020000000100000004000000000000000500000006000000070000000800000009000000 090000000900000009000000000000000000000004000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-088 1 00000000a08601000000000000000000a086010000000000 0000000003000000020000000400000000000000010000000500000006000000070000000800000009000000 090000000900000009000000000000000000000003000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-089 1 00000000a08601000000000000000000a086010000000000 0000000003000000020000000400000001000000000000000500000006000000070000000800000009000000 090000000900000009000000000000000000000004000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-090 1 00000000a08601000000000000000000a086010000000000 0000000003000000040000000000000001000000020000000500000006000000070000000800000009000000 090000000900000009000000000000000000000002000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-091 1 00000000a08601000000000000000000a086010000000000 0000000003000000040000000000000002000000010000000500000006000000070000000800000009000000 090000000900000009000000000000000000000003000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-092 1 00000000a08601000000000000000000a086010000000000 0000000003000000040000000100000000000000020000000500000006000000070000000800000009000000 090000000900000009000000000000000000000003000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-093 1 00000000a08601000000000000000000a086010000000000 0000000003000000040000000100000002000000000000000500000006000000070000000800000009000000 090000000900000009000000000000000000000004000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-094 1 00000000a08601000000000000000000a086010000000000 0000000003000000040000000200000000000000010000000500000006000000070000000800000009000000 090000000900000009000000000000000000000003000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-095 1 00000000a08601000000000000000000a086010000000000 0000000003000000040000000200000001000000000000000500000006000000070000000800000009000000 090000000900000009000000000000000000000004000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-096 1 00000000a08601000000000000000000a086010000000000 0000000004000000000000000100000002000000030000000500000006000000070000000800000009000000 090000000900000009000000000000000000000001000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-097 1 00000000a08601000000000000000000a086010000000000 0000000004000000000000000100000003000000020000000500000006000000070000000800000009000000 090000000900000009000000000000000000000002000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-098 1 00000000a08601000000000000000000a086010000000000 0000000004000000000000000200000001000000030000000500000006000000070000000800000009000000 090000000900000009000000000000000000000002000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-099 1 00000000a08601000000000000000000a086010000000000 0000000004000000000000000200000003000000010000000500000006000000070000000800000009000000 090000000900000009000000000000000000000003000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-100 1 00000000a08601000000000000000000a086010000000000 0000000004000000000000000300000001000000020000000500000006000000070000000800000009000000 090000000900000009000000000000000000000002000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-101 1 00000000a08601000000000000000000a086010000000000 0000000004000000000000000300000002000000010000000500000006000000070000000800000009000000 090000000900000009000000000000000000000003000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-102 1 00000000a08601000000000000000000a086010000000000 0000000004000000010000000000000002000000030000000500000006000000070000000800000009000000 090000000900000009000000000000000000000002000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-103 1 00000000a08601000000000000000000a086010000000000 0000000004000000010000000000000003000000020000000500000006000000070000000800000009000000 090000000900000009000000000000000000000002000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-104 1 00000000a08601000000000000000000a086010000000000 0000000004000000010000000200000000000000030000000500000006000000070000000800000009000000 090000000900000009000000000000000000000003000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-105 1 00000000a08601000000000000000000a086010000000000 0000000004000000010000000200000003000000000000000500000006000000070000000800000009000000 090000000900000009000000000000000000000004000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-106 1 00000000a08601000000000000000000a086010000000000 0000000004000000010000000300000000000000020000000500000006000000070000000800000009000000 090000000900000009000000000000000000000003000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-107 1 00000000a08601000000000000000000a086010000000000 0000000004000000010000000300000002000000000000000500000006000000070000000800000009000000 090000000900000009000000000000000000000004000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-108 1 00000000a08601000000000000000000a086010000000000 0000000004000000020000000000000001000000030000000500000006000000070000000800000009000000 090000000900000009000000000000000000000002000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-109 1 00000000a08601000000000000000000a086010000000000 0000000004000000020000000000000003000000010000000500000006000000070000000800000009000000 090000000900000009000000000000000000000003000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
